SampleID	Diet	Activity	AgeGroup
S001	Carnivore	low	45-59
S002	Vegetarian	medium	18-29
S003	Vegetarian	medium	18-29
S004	Carnivore	medium	60-80
S005	Vegan	high	45-59
S006	Vegan	low	18-29
S007	Vegan	medium	18-29
S008	Vegetarian	medium	45-59
S009	Carnivore	low	18-29
S010	Vegetarian	low	18-29
S011	Vegan	low	30-44
S012	Vegetarian	low	45-59
S013	Vegetarian	high	45-59
S014	Vegan	high	18-29
S015	Vegan	medium	45-59
S016	Vegan	high	18-29
S017	Vegan	high	30-44
S018	Carnivore	low	45-59
S019	Carnivore	high	45-59
S020	Vegan	medium	45-59
S021	Carnivore	high	45-59
S022	Vegan	high	30-44
S023	Vegan	medium	18-29
S024	Carnivore	low	30-44
S025	Carnivore	low	30-44
S026	Vegetarian	medium	18-29
S027	Vegan	high	60-80
S028	Carnivore	high	30-44
S029	Carnivore	low	60-80
S030	Vegan	medium	45-59
S031	Carnivore	medium	45-59
S032	Vegan	low	30-44
S033	Vegan	low	30-44
S034	Vegetarian	medium	30-44
S035	Vegetarian	high	18-29
S036	Vegetarian	medium	45-59
S037	Vegan	medium	30-44
S038	Vegan	medium	18-29
S039	Vegetarian	medium	45-59
S040	Carnivore	high	18-29
S041	Vegan	high	60-80
S042	Carnivore	low	60-80
S043	Vegan	medium	60-80
S044	Vegetarian	medium	30-44
S045	Vegan	low	18-29
S046	Vegetarian	low	60-80
S047	Vegan	medium	30-44
S048	Carnivore	medium	60-80
S049	Carnivore	low	60-80
S050	Vegan	low	60-80
S051	Vegetarian	high	30-44
S052	Vegetarian	low	30-44
S053	Vegetarian	low	60-80
S054	Vegetarian	medium	30-44
S055	Carnivore	high	18-29
S056	Vegetarian	low	30-44
S057	Vegan	medium	60-80
S058	Vegan	medium	45-59
S059	Vegan	low	30-44
S060	Vegan	medium	18-29
S061	Carnivore	medium	45-59
S062	Vegan	medium	60-80
S063	Vegetarian	medium	18-29
S064	Carnivore	medium	30-44
S065	Vegan	low	60-80
S066	Carnivore	high	45-59
S067	Vegan	medium	45-59
S068	Vegetarian	low	45-59
S069	Vegan	low	30-44
S070	Vegetarian	medium	30-44
S071	Vegetarian	medium	45-59
S072	Vegan	low	45-59
S073	Vegan	medium	60-80
S074	Vegetarian	low	60-80
S075	Vegetarian	medium	30-44
S076	Vegetarian	low	30-44
S077	Vegetarian	medium	45-59
S078	Vegan	medium	45-59
S079	Carnivore	high	45-59
S080	Vegan	low	45-59
S081	Vegetarian	medium	60-80
S082	Carnivore	low	30-44
S083	Vegan	high	30-44
S084	Vegan	high	18-29
S085	Vegan	low	30-44
S086	Vegan	medium	18-29
S087	Vegetarian	high	30-44
S088	Carnivore	medium	30-44
S089	Vegetarian	medium	30-44
S090	Carnivore	low	30-44
S091	Vegan	low	18-29
S092	Vegetarian	high	18-29
S093	Vegetarian	high	45-59
S094	Carnivore	medium	30-44
S095	Vegetarian	medium	18-29
S096	Carnivore	medium	30-44
S097	Carnivore	medium	45-59
S098	Carnivore	high	18-29
S099	Vegan	high	45-59
S100	Vegan	medium	18-29
